# ----------------------------------------
# Reports snapshot
# Account: SinceThisCall
# Property: sincethiscall
# ----------------------------------------
#  
# Start date: 20260111
# End date: 20260221
Nth day,Active users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,17
0008,11
0009,20
0010,17
0011,25
0012,22
0013,15
0014,11
0015,10
0016,13
0017,6
0018,138
0019,53
0020,25
0021,17
0022,20
0023,53
0024,27
0025,14
0026,12
0027,8
0028,11
0029,10
0030,9
0031,5
0032,8
0033,4
0034,3
0035,5
0036,7
0037,22
0038,19
0039,8
0040,5
0041,5

# Start date: 20260111
# End date: 20260221
Nth day,New users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,17
0008,7
0009,16
0010,12
0011,20
0012,16
0013,11
0014,5
0015,6
0016,8
0017,3
0018,131
0019,41
0020,16
0021,13
0022,14
0023,47
0024,19
0025,7
0026,6
0027,5
0028,6
0029,5
0030,5
0031,2
0032,6
0033,1
0034,1
0035,3
0036,4
0037,18
0038,13
0039,4
0040,1
0041,2

# Start date: 20260111
# End date: 20260221
Nth day,Average engagement time per active user
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,171.35294117647058
0008,170.45454545454547
0009,137.2
0010,219.1764705882353
0011,269.08
0012,390.1363636363636
0013,941.8
0014,412.6363636363636
0015,712.1
0016,373.9230769230769
0017,508.3333333333333
0018,95.17391304347827
0019,155.9056603773585
0020,472.6
0021,1304.1764705882354
0022,613.75
0023,79.16981132075472
0024,1535.7777777777778
0025,226
0026,293.0833333333333
0027,290.375
0028,68.72727272727273
0029,95
0030,358.22222222222223
0031,120.6
0032,756.625
0033,93.5
0034,157
0035,58.6
0036,78.57142857142857
0037,45.81818181818182
0038,120.63157894736842
0039,101.5
0040,272.6
0041,109.2

# Start date: 20260111
# End date: 20260221
Nth day,Total revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0

# Where do your new users come from?
# Start date: 20260111
# End date: 20260221
First user primary channel group (Default Channel Group),New users
Organic Social,247
Direct,230
Organic Search,11
Paid Search,2
Referral,1

#  
# Start date: 20260111
# End date: 20260221
Session primary channel group (Default Channel Group),Sessions
Organic Social,667
Direct,471
Organic Search,21
Unassigned,12
Referral,3
Paid Search,2

#  
# Start date: 20260111
# End date: 20260221
Country ID,Active users
AE,7
AL,1
AT,3
AU,9
BE,3
BG,2
BR,5
BY,2
CA,77
CH,15
CL,1
CN,5
CO,4
CZ,2
DE,24
EC,3
EG,1
ES,8
ET,1
FI,2
FR,12
GB,25
GE,2
HK,2
HU,1
ID,6
IE,2
IL,3
IN,16
IT,9
JP,5
KR,3
KZ,1
LT,3
LU,1
MX,9
MY,1
NG,1
NL,18
NO,2
PH,1
PK,10
PL,8
PR,1
PT,25
RS,1
SA,2
SE,1
SG,5
SI,5
TH,1
TR,3
US,124
UZ,1
VE,2
VN,6
XK,1
ZA,2

# Start date: 20260111
# End date: 20260221
Country,Active users
US,124
CA,77
GB,25
PT,25
DE,24
NL,18
IN,16

# How are active users trending?
# Start date: 20260111
# End date: 20260221
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,17,17,17
0008,24,24,11
0009,40,40,20
0010,52,52,17
0011,72,72,25
0012,88,88,22
0013,99,99,15
0014,104,91,11
0015,110,91,10
0016,118,84,13
0017,121,76,6
0018,252,189,138
0019,293,215,53
0020,309,220,25
0021,322,227,17
0022,336,235,20
0023,383,275,53
0024,402,292,27
0025,409,176,14
0026,415,139,12
0027,419,126,8
0028,425,117,11
0029,430,106,10
0030,435,63,9
0031,437,46,5
0032,443,44,8
0033,444,38,4
0034,445,35,3
0035,448,30,5
0036,452,28,7
0037,455,42,22
0038,462,54,19
0039,450,52,8
0040,441,53,5
0041,426,54,5

# How well do you retain your users?
# Start date: 20260104
# End date: 20260214
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Jan 4 - Jan 10,0,0,0,0,0,0
Jan 11 - Jan 17,0,0,0,0,0,-1
Jan 18 - Jan 24,99,10,8,4,-1,-1
Jan 25 - Jan 31,210,8,0,-1,-1,-1
Feb 1 - Feb 7,110,5,-1,-1,-1,-1
Feb 8 - Feb 14,26,-1,-1,-1,-1,-1

#  
# Start date: 20260111
# End date: 20260221
Page title and screen class,Views
Since This Call,8029
404: This page could not be found.,7
Seit diesem Anruf,3

#  
# Start date: 20260111
# End date: 20260221
Event name,Event count
page_view,15448
user_engagement,3650
form_submit,2544
scroll,1561
click,1449
session_start,1162
form_start,582
first_visit,491

# What are your top performing key events?
# Start date: 20260111
# End date: 20260221
Event name,Key events


# Where does your average 120d value come from?
# Start date: 20260111
# End date: 20260221
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20260111
# End date: 20260221
Item name,Items purchased


# How does activity on your platforms compare?
# Start date: 20260111
# End date: 20260221
Platform,Key events
